GivenName,SurName,EmployeeID,Role
James,Smith,123001,Accounting
Mary,Johnson,123002,Accounting
John,Williams,123003,Accounting
Patricia,Brown,123004,Accounting
Robert,Jones,123005,Accounting
Jennifer,Garcia,123006,Accounting
Michael,Miller,123007,Management
Linda,Davis,123008,Management
William,Rodriguez,123009,Management
Elizabeth,Martinez,123010,Management
David,Hernandez,123011,Management
Barbara,Lopez,123012,Research and Development
Richard,Gonzalez,123013,Research and Development
Susan,Wilson,123014,Research and Development
Joseph,Anderson,123015,Research and Development
Jessica,Thomas,123016,Research and Development
Thomas,Taylor,123017,Research and Development
Sarah,Moore,123018,Research and Development
Charles,Jackson,123019,Research and Development
Karen,Martin,123020,Research and Development
Christopher,Lee,123021,Research and Development
Nancy,Perez,123022,Research and Development
Daniel,Thompson,123023,Analyst
Lisa,White,123024,Analyst
Matthew,Harris,123025,Analyst
Margaret,Sanchez,123026,Analyst
Anthony,Clark,123027,Analyst
Betty,Ramirez,123028,Analyst
Donald,Lewis,123029,Analyst
Sandra,Robinson,123030,Analyst
Mark,Walker,123031,Analyst
Ashley,Young,123032,Analyst
Paul,Allen,123033,Sales
Dorothy,King,123034,Sales
Steven,Wright,123035,Sales
Kimberly,Scott,123036,Sales
Andrew,Torres,123037,Sales
Emily,Nguyen,123038,Sales
Kenneth,Hill,123039,Sales
Donna,Flores,123040,Sales
Joshua,Green,123041,Sales
Michelle,Adams,123042,Sales
Kevin,Nelson,123043,Human Resources
Carol,Baker,123044,Human Resources
Brian,Hall,123045,Human Resources
Amanda,Rivera,123046,Human Resources
George,Campbell,123047,Human Resources
Melissa,Mitchell,123048,Human Resources
Edward,Carter,123049,Human Resources
Deborah,Roberts,123050,Human Resources
